NCBI,Final symbol,Human
lsm14a,lsm14a (2 of 2),LSM14A
LOC107381281,ube2q2 (1 of 2),UBE2Q2
LOC107395503,ube2q2 (2 of 2),UBE2Q2
LOC107395424,pappa2 (1 of 2),PAPPA2
pappa2,pappa2 (2 of 2),PAPPA2
anp32a,anp32a,ANP32A
ctu2,ctu2,CTU2
plcb3,plcb3,PLCB1
prss48,prss48,CTRL
pdcd6ip,pdcd6ip,PDCD6IP
LOC107373484,ydjc (1 of 2),YDJC
LOC107372963,ydjc (2 of 2),YDJC
plbd2,plbd2,PLBD2
rfc1,rfc1,RFC1
LOC107387470,acsf2 (1 of 2),ACSF2
LOC107393615,acsf2 (2 of 2),ACSF2
elf2,elf2 (1 of 2),ELF2
LOC107396428,elf2 (2 of 2),ELF2
cp,cp,CP
nme7,nme7,NME7
rnf215,rnf215,RNF215
cwc27,cwc27,CWC27
LOC107382188,clock (1 of 2),CLOCK
clock,clock (2 of 2),CLOCK
smad1,smad1,SMAD1
LOC107376132,nrg3 (1 of 2),NRG3
LOC107387893,nrg3 (2 of 2),NRG3
ube2w,ube2w,UBE2W
clcn6,clcn6,CLCN6
tspan12,tspan12,TSPAN12
disp2,disp2,DISP2
LOC107389230,LOC107389230,
pigf,pigf,PIGF
trpc1,trpc1,TRPC1
LOC107393047,igfbp3 (1 of 2),IGFBP3
LOC107383917,igfbp3 (2 of 2),IGFBP3
rabif,rabif,RABIF
LOC107396219,ppp2r2a (1 of 2),PPP2R2A
LOC107393702,ppp2r2a (2 of 2),PPP2R2A
arhgef10l,arhgef10l,ARHGEF10L
spred2,spred2 (1 of 2),SPRED2
LOC107376068,spred2 (2 of 2),SPRED2
cadm2,cadm2 (1 of 5),CADM2
LOC107386982,cadm2 (2 of 5),CADM2
LOC107384672,cadm2 (3 of 5),CADM4
LOC107390396,cadm2 (4 of 5),CADM2
LOC107379533,cadm2 (5 of 5),
LOC107374673,prag1,SGK223
fam76b,fam76b,FAM76B
kiaa0825,kiaa0825,KIAA0825
mff,mff (1 of 2),MFF
LOC107373846,mff (2 of 2),MFF
setd1b,setd1b (1 of 3),SETD1B
LOC107393824,setd1b (2 of 3),SETD1B
LOC107393825,setd1b (3 of 3),SETD1B
LOC107375285,prelid1 (1 of 3),PRELID1
prelid1,prelid1 (2 of 3),PRELID1
LOC107396736,prelid1 (3 of 3),PRELID1
rlf,rlf,RLF
med28,med28,MED28
LOC107378569,eftud2 (1 of 2),EFTUD2
LOC107372924,eftud2 (2 of 2),EFTUD2
LOC107394824,lim2 (1 of 4),LIM2
LOC107380655,lim2 (2 of 4),LIM2
LOC107392775,lim2 (3 of 4),LIM2
LOC107379310,lim2 (4 of 4),LIM2
ptbp3,ptbp3,PTBP1
LOC107376578,hla-dma,HLA-DPA1
serpine3,serpine3,SERPINE3
slc33a1,slc33a1,SLC33A1
LOC107388094,top2a,TOP2A
h6pd,h6pd,H6PD
LOC107389448,or13c9,OR13C2
mad1l1,mad1l1,MAD1L1
LOC107397031,LOC107397031,
LOC107384422,rgs16,RGS16
wbp2nl,wbp2nl,WBP2
slc25a16,slc25a16,SLC25A16
rps6kb1,rps6kb1,RPS6KB1
LOC107383629,il6,
LOC107373971,asgr1 (1 of 5),ASGR2
LOC107379107,asgr1 (2 of 5),CLEC4M
LOC107373870,asgr1 (3 of 5),CLEC10A
LOC107379114,asgr1 (4 of 5),CLEC4G
LOC107389805,asgr1 (5 of 5),SFTPD
unc45a,unc45a,UNC45A
LOC107382780,coq9 (1 of 2),COQ9
coq9,coq9 (2 of 2),COQ9
LOC107391965,myct1 (1 of 2),MYCT1
LOC107377552,myct1 (2 of 2),MYCT1
LOC107373665,cpa1 (1 of 2),CPA1
cpa1,cpa1 (2 of 2),CPA1
unc119b,unc119b (1 of 2),UNC119B
LOC107374271,unc119b (2 of 2),UNC119B
ipcef1,ipcef1,IPCEF1
LOC107383461,atp1a2,ATP1A2
caprin1,caprin1 (1 of 2),CAPRIN1
LOC107381442,caprin1 (2 of 2),CAPRIN1
LOC107374499,LOC107374499,
ap4b1,ap4b1,AP4B1
kctd4,kctd4,KCTD4
ftsj2,ftsj2,FTSJ2
rnf6,rnf6,RNF6
LOC107396232,LOC107396232,TRPA1
LOC107382602,hccs,HCCS
tbc1d22b,tbc1d22b,TBC1D22B
matk,matk,MATK
vps41,vps41,VPS41
LOC107392253,akirin2 (1 of 2),AKIRIN2
akirin2,akirin2 (2 of 2),AKIRIN2
pold1,pold1,POLD1
dock10,dock10,DOCK10
LOC107379068,scn1b (1 of 3),SCN3B
LOC107394898,scn1b (2 of 3),SCN3B
LOC107379071,scn1b (3 of 3),SCN3B
rpl11,rpl11,RPL11
LOC107375419,sptbn5,SPTBN5
LOC107384948,pdzd4 (1 of 2),PDZD4
LOC107390507,pdzd4 (2 of 2),PDZD4
fam102b,fam102b (1 of 2),FAM102B
LOC107384081,fam102b (2 of 2),FAM102B
lurap1l,lurap1l,LURAP1L
LOC107394285,LOC107394285,
csgr17h1orf210,csgr17h1orf210,C1orf210
cd63,cd63,CD63
tmem145,tmem145,TMEM145
map1lc3a,map1lc3a,MAP1LC3B
mrpl53,mrpl53,MRPL53
etfb,etfb,ETFB
mrs2,mrs2,MRS2
klc2,klc2,KLC2
LOC107386653,LOC107386653,
mtmr4,mtmr4,MTMR4
LOC107395496,LOC107395496,
srrm1,srrm1 (1 of 6),SRRM1
LOC107394637,srrm1 (2 of 6),
LOC107389926,srrm1 (3 of 6),CD58
LOC107376270,srrm1 (4 of 6),
LOC107386413,srrm1 (5 of 6),
LOC107389478,srrm1 (6 of 6),PRR33
LOC107372827,rbbp8nl,RBBP8NL
fbxl13,fbxl13 (1 of 2),FBXL14
LOC107382549,fbxl13 (2 of 2),FBXL13
LOC107395139,shisa9 (1 of 4),SHISA9
shisa9,shisa9 (2 of 4),SHISA9
LOC107376384,shisa9 (3 of 4),SHISA8
LOC107378393,shisa9 (4 of 4),SHISA9
tnk2,tnk2 (1 of 2),TNK2
LOC107383061,tnk2 (2 of 2),TNK2
LOC107375801,scd (1 of 4),SCD5
LOC107375910,scd (2 of 4),SCD
LOC107373394,scd (3 of 4),SCD
LOC107387822,scd (4 of 4),SCD5
LOC107393999,rfesd (1 of 3),RFESD
rfesd,rfesd (2 of 3),RFESD
LOC107393330,rfesd (3 of 3),RFESD
arhgef3,arhgef3 (1 of 2),ARHGEF3
LOC107390969,arhgef3 (2 of 2),ARHGEF3
xirp1,xirp1 (1 of 2),XIRP2
LOC107382815,xirp1 (2 of 2),XIRP2
LOC107391268,samd10 (1 of 2),SAMD10
samd10,samd10 (2 of 2),SAMD10
LOC107395502,krtap10-7,CRIM1
rpp40,rpp40,RPP40
LOC107393299,mbd3 (1 of 2),MBD3
LOC107384146,mbd3 (2 of 2),MBD3
fut11,fut11,FUT11
LOC107386898,tusc5b,PRRT2
hapln2,hapln2,HAPLN2
pomp,pomp,POMP
calcoco2,calcoco2 (1 of 2),TAX1BP1
LOC107373474,calcoco2 (2 of 2),TAX1BP1
lrrc4b,lrrc4b (1 of 2),LRRC4B
LOC107388014,lrrc4b (2 of 2),LRRC4B
tspan16,tspan16,TSPAN1
mphosph6,mphosph6,MPHOSPH6
csgr09h2orf82,csgr09h2orf82,
csgr09h7orf26,csgr09h7orf26,C7orf26
LOC107379219,hormad1 (1 of 2),HORMAD1
LOC107384408,hormad1 (2 of 2),HORMAD1
arhgef9,arhgef9,ARHGEF9
stk3,stk3,STK3
LOC107379697,rec8 (1 of 2),REC8
rec8,rec8 (2 of 2),REC8
vimp,vimp,VIMP
LOC107387215,LOC107387215,
kif26a,kif26a,KIF26B
LOC107379287,fat2 (1 of 2),FAT1
fat2,fat2 (2 of 2),FAT2
dbndd1,dbndd1,DBNDD1
kank1,kank1 (1 of 2),KANK1
LOC107374910,kank1 (2 of 2),KANK1
LOC107387094,dlc1 (1 of 2),DLC1
LOC107375207,dlc1 (2 of 2),DLC1
ireb2,ireb2,IREB2
LOC107387592,LOC107387592,
LOC107397119,cdh7 (1 of 2),CDH11
cdh7,cdh7 (2 of 2),CDH7
trpv4,trpv4,TRPV4
cldn20,cldn20 (1 of 2),CLDN20
LOC107392559,cldn20 (2 of 2),CLDN20
gtf2e2,gtf2e2,GTF2E2
LOC107382316,mb,MB
LOC107391611,znf646 (1 of 3),ZNF646
znf646,znf646 (2 of 3),ZNF208
LOC107388075,znf646 (3 of 3),ZFP62
nfs1,nfs1,NFS1
LOC107373874,lypd1 (1 of 2),LYPD1
LOC107377238,lypd1 (2 of 2),LYPD1
LOC107379177,rarb (1 of 3),RARB
LOC107372434,rarb (2 of 3),RARB
rarb,rarb (3 of 3),RARB
tmco3,tmco3,TMCO3
gcc1,gcc1,GCC1
LOC107393501,cit (1 of 5),CIT
LOC107374268,cit (2 of 5),CIT
cit,cit (3 of 5),CIT
LOC107374267,cit (4 of 5),CIT
LOC107376153,cit (5 of 5),
LOC107394210,tcn2,TCN2
LOC107376759,LOC107376759,
nfkb1,nfkb1,NFKB1
LOC107392305,mum1l1,MUM1L1
plk4,plk4,PLK4
fkbp15,fkbp15,FKBP15
LOC107391158,rbm38 (1 of 2),RBM38
LOC107384941,rbm38 (2 of 2),RBM38
LOC107397235,LOC107397235,
LOC107378295,tecr (1 of 2),TECR
LOC107390378,tecr (2 of 2),TECR
LOC107392988,nfil3 (1 of 5),NFIL3
nfil3,nfil3 (2 of 5),NFIL3
LOC107392996,nfil3 (3 of 5),NFIL3
LOC107395427,nfil3 (4 of 5),NFIL3
LOC107395426,nfil3 (5 of 5),NFIL3
unc5b,unc5b,UNC5B
aco2,aco2 (1 of 2),ACO2
LOC107376317,aco2 (2 of 2),ACO2
mdm4,mdm4,MDM4
LOC107389001,ptcd1,PTCD1
tatdn2,tatdn2,TATDN2
vps18,vps18,VPS18
scaf11,scaf11,SCAF11
dhx9,dhx9,DHX9
tmem129,tmem129,TMEM129
LOC107382399,crebrf (1 of 2),CREBRF
crebrf,crebrf (2 of 2),CREBRF
sash3,sash3,SASH3
LOC107389642,map4k4 (1 of 3),TNIK
LOC107385580,map4k4 (2 of 3),MAP4K4
map4k4,map4k4 (3 of 3),TNIK
fbxo8,fbxo8,FBXO8
LOC107386396,brd8 (1 of 2),BRD8
LOC107379723,brd8 (2 of 2),BRD8
scyl3,scyl3,SCYL3
arpc5,arpc5,ARPC5
adamts8,adamts8,ADAMTS8
tbc1d22a,tbc1d22a,TBC1D22A
csrp3,csrp3,CSRP3
pex16,pex16,PEX16
mrps33,mrps33,MRPS33
LOC107385143,slc26a6 (1 of 3),SLC26A5
slc26a6,slc26a6 (2 of 3),SLC26A6
LOC107391011,slc26a6 (3 of 3),SLC26A6
LOC107391404,or14j1,OR14J1
LOC107380553,or52n5 (1 of 3),OR52N5
LOC107380554,or52n5 (2 of 3),OR52N5
LOC107387168,or52n5 (3 of 3),OR52N5
LOC107385917,LOC107385917,
nbr1,nbr1,NBR1
dclre1b,dclre1b,DCLRE1B
csgr01h7orf73,csgr01h7orf73,C7orf73
LOC107381691,scmh1 (1 of 2),SCMH1
LOC107379383,scmh1 (2 of 2),SCMH1
camkk1,camkk1 (1 of 2),CAMKK1
LOC107379997,camkk1 (2 of 2),CAMKK2
rgs12,rgs12 (1 of 2),RGS12
LOC107377372,rgs12 (2 of 2),RGS12
LOC107380413,snapc1 (1 of 2),SNAPC1
snapc1,snapc1 (2 of 2),SNAPC1
LOC107377794,esr2 (1 of 2),ESR2
esr2,esr2 (2 of 2),ESR2
p2rx5,p2rx5,P2RX5-TAX1BP3
sox2,sox2 (1 of 3),SOX2
LOC107384501,sox2 (2 of 3),SOX2
LOC107389778,sox2 (3 of 3),SOX1
pacsin3,pacsin3 (1 of 3),PACSIN3
LOC107378491,pacsin3 (2 of 3),PACSIN3
LOC107388080,pacsin3 (3 of 3),PACSIN3
tmem33,tmem33,TMEM33
tm9sf4,tm9sf4,TM9SF4
mpg,mpg,MPG
znf395,znf395,ZNF395
zswim5,zswim5,ZSWIM5
ftsj3,ftsj3,FTSJ3
ttc4,ttc4,TTC4
LOC107390927,znf740,ZNF740
hdgf,hdgf,RP11-382A20.3
LOC107391214,LOC107391214,
LOC107393197,s1pr1 (1 of 4),S1PR3
LOC107382245,s1pr1 (2 of 4),S1PR1
LOC107376233,s1pr1 (3 of 4),S1PR1
s1pr1,s1pr1 (4 of 4),S1PR1
gpr141,gpr141,GPR141
capn9,capn9,CAPN9
vbp1,vbp1,VBP1
napepld,napepld,NAPEPLD
LOC107388076,znf668,ZNF668
gng2,gng2,GNG2
LOC107381695,rs1 (1 of 2),RS1
rs1,rs1 (2 of 2),RS1
tssc1,tssc1,TSSC1
LOC107396500,LOC107396500,
LOC107375618,LOC107375618,
LOC107395119,mob1b,MOB1A
LOC107382128,LOC107382128,
LOC107395872,tmem14a,TMEM14C
mrps27,mrps27,MRPS27
cacng2,cacng2 (1 of 2),CACNG2
LOC107375153,cacng2 (2 of 2),CACNG2
LOC107383591,myo9b (1 of 2),MYO9B
myo9b,myo9b (2 of 2),MYO9B
LOC107386151,LOC107386151,
slc35c2,slc35c2,SLC35C2
vti1b,vti1b,VTI1B
LOC107391503,art1,ART1
LOC107392346,atxn3,ATXN3
lrrc52,lrrc52,LRRC52
dnajc30,dnajc30 (1 of 2),DNAJC30
LOC107392040,dnajc30 (2 of 2),DNAJC30
LOC107381824,glg1 (1 of 2),GLG1
glg1,glg1 (2 of 2),GLG1
LOC107389252,fam169b,FAM169A
LOC107384901,rpl22 (1 of 2),RPL22
LOC107391378,rpl22 (2 of 2),RPL22
zcchc4,zcchc4,ZCCHC4
LOC107379134,rpz,
crim1,crim1,CRIM1
taf3,taf3,TAF3
LOC107383217,slc6a18,SLC6A18
LOC107393384,mllt6,MLLT10
blvrb,blvrb (1 of 2),BLVRB
LOC107394342,blvrb (2 of 2),BLVRB
pin1,pin1,PIN1
dynlt1,dynlt1,DYNLT1
LOC107393764,stc1 (1 of 2),STC1
LOC107394755,stc1 (2 of 2),STC1
mtch1,mtch1,MTCH1
mme,mme,MME
ispd,ispd,ISPD
LOC107397225,ano9 (1 of 2),ANO9
LOC107388656,ano9 (2 of 2),ANO9
psen2,psen2,PSEN2
LOC107396560,gabrg3 (1 of 3),GABRG3
LOC107373833,gabrg3 (2 of 3),GABRG3
LOC107381053,gabrg3 (3 of 3),GABRG3
nrdc,nrdc,NRDC
LOC107391060,dock3 (1 of 2),DOCK3
dock3,dock3 (2 of 2),DOCK3
cda,cda (1 of 2),CDA
LOC107377306,cda (2 of 2),CDA
LOC107379943,znf208,ZNF208
LOC107388613,cacng3 (1 of 2),CACNG3
cacng3,cacng3 (2 of 2),CACNG3
slc43a3,slc43a3 (1 of 2),SLC43A3
LOC107393495,slc43a3 (2 of 2),SLC43A3
znf277,znf277,ZNF277
LOC107373653,tbc1d12,TBC1D12
LOC107387748,usp54 (1 of 2),USP54
LOC107396544,usp54 (2 of 2),USP54
mospd2,mospd2,MOSPD2
LOC107378100,evl (1 of 2),EVL
LOC107392296,evl (2 of 2),EVL
ap3b2,ap3b2,AP3B2
stk39,stk39,STK39
arhgef17,arhgef17 (1 of 2),ARHGEF17
LOC107391744,arhgef17 (2 of 2),ARHGEF17
LOC107389369,dmp1,CTDSP2
nat6,nat6,NAT6
hnrnpa3,hnrnpa3,HNRNPA1
csgr01h11orf49,csgr01h11orf49,C11orf49
col20a1,col20a1,COL20A1
lrrc34,lrrc34,LRRC34
LOC107396136,fgf18 (1 of 2),FGF18
LOC107376280,fgf18 (2 of 2),FGF18
pudp,pudp,PUDP
LOC107396980,ptpdc1 (1 of 4),PTPDC1
LOC107373934,ptpdc1 (2 of 4),PTPDC1
LOC107391101,ptpdc1 (3 of 4),PTPDC1
LOC107388893,ptpdc1 (4 of 4),PTPDC1
ccdc36,ccdc36,CCDC36
LOC107390734,epb41l1 (1 of 2),EPB41L1
LOC107385828,epb41l1 (2 of 2),EPB41L1
LOC107394792,fabp3,FABP3
LOC107385540,LOC107385540,
bhlhe41,bhlhe41,BHLHE41
bin2,bin2 (1 of 2),BIN2
LOC107385840,bin2 (2 of 2),BIN2
msln,msln,MSLNL
atp7a,atp7a,ATP7A
spata6,spata6,SPATA6
LOC107379182,LOC107379182,
mkrn2,mkrn2,MKRN2
LOC107394392,znf865,ZNF865
LOC107387353,b3gnt5 (1 of 3),B3GNT5
LOC107384478,b3gnt5 (2 of 3),B3GNT5
LOC107395569,b3gnt5 (3 of 3),B3GNT5
LOC107373520,LOC107373520,
fbxo22,fbxo22,FBXO22
kiaa1211,kiaa1211 (1 of 2),KIAA1211
LOC107382040,kiaa1211 (2 of 2),KIAA1211L
crbn,crbn,CRBN
LOC107374898,syt6,SYT6
LOC107378739,sptan1 (1 of 22),SPTAN1
LOC107376438,sptan1 (2 of 22),SPTAN1
LOC107373002,sptan1 (3 of 22),SPTAN1
LOC107396379,sptan1 (4 of 22),SPTAN1
LOC107380100,sptan1 (5 of 22),SPTAN1
LOC107390172,sptan1 (6 of 22),SPTAN1
LOC107388343,sptan1 (7 of 22),SPTAN1
LOC107379319,sptan1 (8 of 22),SPTAN1
LOC107391486,sptan1 (9 of 22),SPTAN1
LOC107386777,sptan1 (10 of 22),SPTAN1
LOC107376418,sptan1 (11 of 22),SPTAN1
LOC107396393,sptan1 (12 of 22),SPTAN1
sptan1,sptan1 (13 of 22),SPTAN1
LOC107395713,sptan1 (14 of 22),SPTAN1
LOC107385434,sptan1 (15 of 22),SPTAN1
LOC107395555,sptan1 (16 of 22),SPTAN1
LOC107391058,sptan1 (17 of 22),SPTAN1
LOC107376734,sptan1 (18 of 22),SPTAN1
LOC107375946,sptan1 (19 of 22),SPTAN1
LOC107383390,sptan1 (20 of 22),SPTAN1
LOC107390641,sptan1 (21 of 22),SPTAN1
LOC107385679,sptan1 (22 of 22),SPTAN1
tcea3,tcea3,TCEA3
akt1,akt1,AKT1
tspan9,tspan9 (1 of 2),TSPAN9
LOC107382520,tspan9 (2 of 2),TSPAN9
abhd2,abhd2 (1 of 2),ABHD2
LOC107376844,abhd2 (2 of 2),ABHD2
dcaf5,dcaf5,DCAF5
spry1,spry1,SPRY1
LOC107393996,kif24,KIF24
pde8b,pde8b,PDE8B
LOC107390637,gstm1,GSTM3
LOC107373577,hspb1 (1 of 3),HSPB1
LOC107386235,hspb1 (2 of 3),HSPB1
hspb1,hspb1 (3 of 3),HSPB1
ccdc126,ccdc126,CCDC126
LOC107376846,znf572 (1 of 3),ZNF22
LOC107373228,znf572 (2 of 3),ZNF3
LOC107372363,znf572 (3 of 3),ZNF569
tbc1d19,tbc1d19,TBC1D19
sft2d1,sft2d1,SFT2D1
gucy1b3,gucy1b3,GUCY1B3
fam210a,fam210a,FAM210A
cryl1,cryl1,CRYL1
slc4a5,slc4a5 (1 of 2),SLC4A5
LOC107395321,slc4a5 (2 of 2),SLC4A5
bet1,bet1,BET1
LOC107372432,me1,ME1
pax7,pax7,PAX7
LOC107387606,ocm2 (1 of 2),OCM2
LOC107376572,ocm2 (2 of 2),OCM2
LOC107375337,pgam1 (1 of 2),PGAM1
LOC107375692,pgam1 (2 of 2),PGAM1
tbpl2,tbpl2,TBP
rrnad1,rrnad1,RRNAD1
cask,cask,CASK
cdc40,cdc40,CDC40
LOC107379711,nptx1 (1 of 3),NPTX2
LOC107376699,nptx1 (2 of 3),NPTX1
nptx1,nptx1 (3 of 3),NPTX1
LOC107372729,rusc2 (1 of 2),RUSC2
LOC107386068,rusc2 (2 of 2),RUSC2
ensa,ensa,ENSA
gbas,gbas (1 of 2),GBAS
LOC107386882,gbas (2 of 2),GBAS
LOC107384256,casq1 (1 of 3),CASQ1
LOC107395025,casq1 (2 of 3),
LOC107376974,casq1 (3 of 3),CASQ1
csgr11hxorf57,csgr11hxorf57,CXorf57
sfr1,sfr1,SFR1
bend7,bend7,BEND7
oxsm,oxsm,OXSM
cog5,cog5,COG5
hexdc,hexdc,HEXDC
ttll9,ttll9,TTLL9
ercc2,ercc2,ERCC2
vwa5b2,vwa5b2,VWA5B2
mrps36,mrps36,MRPS36
ap2s1,ap2s1 (1 of 2),AP2S1
LOC107395454,ap2s1 (2 of 2),AP2S1
LOC107395638,rac3,RAC3
sipa1l3,sipa1l3,SIPA1L3
klhdc2,klhdc2 (1 of 2),KLHDC2
LOC107377139,klhdc2 (2 of 2),KLHDC2
LOC107374976,atp6v1g1,ATP6V1G1
prr7,prr7,PRR7
gnptab,gnptab,GNPTAB
tsta3,tsta3,TSTA3
itgb5,itgb5,ITGB5
hpcal1,hpcal1 (1 of 2),HPCAL1
LOC107395015,hpcal1 (2 of 2),HPCAL1
coq4,coq4,COQ4
dlgap2,dlgap2 (1 of 2),DLGAP2
LOC107377833,dlgap2 (2 of 2),DLGAP2
LOC107396722,znf224,ZNF585B
wscd1,wscd1,WSCD1
bmp8a,bmp8a,BMP7
pou2f2,pou2f2 (1 of 2),POU2F2
LOC107394875,pou2f2 (2 of 2),POU2F2
bloc1s5,bloc1s5,BLOC1S5
LOC107395480,LOC107395480,
dopey2,dopey2,DOPEY2
sgk2,sgk2,SGK2
LOC107388344,LOC107388344,
LOC107376588,tigit,TIGIT
LOC107372832,LOC107372832,
LOC107390733,edn3,EDN3
sec22b,sec22b,SEC22B
LOC107391739,hist2h3d (1 of 8),HIST2H3D
LOC107388332,hist2h3d (2 of 8),HIST2H3D
LOC107373349,hist2h3d (3 of 8),HIST2H3D
LOC107382435,hist2h3d (4 of 8),HIST2H3D
LOC107375341,hist2h3d (5 of 8),HIST2H3D
LOC107391735,hist2h3d (6 of 8),HIST2H3D
LOC107380018,hist2h3d (7 of 8),HIST2H3D
LOC107372521,hist2h3d (8 of 8),HIST2H3D
tubgcp4,tubgcp4,TUBGCP4
sema5a,sema5a,SEMA5A
LOC107378551,LOC107378551,
srsf10,srsf10,SRSF10
LOC107386801,tm4sf4 (1 of 2),TM4SF4
tm4sf4,tm4sf4 (2 of 2),TM4SF4
pask,pask,PASK
LOC107376397,litaf (1 of 3),CDIP1
LOC107378389,litaf (2 of 3),CDIP1
LOC107376618,litaf (3 of 3),CDIP1
tmed6,tmed6,TMED6
grhl1,grhl1,GRHL1
cps1,cps1,CPS1
slc30a8,slc30a8,SLC30A2
msh4,msh4,MSH4
LOC107384115,stk26 (1 of 2),AC013461.1
LOC107376779,stk26 (2 of 2),STK26
gamt,gamt,GAMT
med13,med13,MED13
chgb,chgb,
cacna2d2,cacna2d2 (1 of 2),CACNA2D2
LOC107385140,cacna2d2 (2 of 2),CACNA2D2
LOC107395533,LOC107395533,
trove2,trove2,TROVE2
LOC107395344,rab9b,RAB9B
tomm20,tomm20 (1 of 2),TOMM20
LOC107382384,tomm20 (2 of 2),TOMM20
LOC107387129,tmem136 (1 of 2),TMEM136
tmem136,tmem136 (2 of 2),TMEM136
znf507,znf507,ZNF507
hsf2,hsf2,HSF2
klf9,klf9 (1 of 2),KLF9
LOC107396221,klf9 (2 of 2),KLF9
mrpl38,mrpl38,MRPL38
fbxl6,fbxl6,FBXL6
LOC107390133,sacs (1 of 3),SACS
sacs,sacs (2 of 3),SACS
LOC107396709,sacs (3 of 3),SACS
LOC107394563,rnf115 (1 of 2),RNF115
rnf115,rnf115 (2 of 2),RNF115
stx10,stx10,STX10
LOC107397130,dnah7,DNAH12
shisa4,shisa4,SHISA4
creld2,creld2,CRELD2
naglu,naglu,NAGLU
rsu1,rsu1,RSU1
ufm1,ufm1,UFM1
cpt2,cpt2,CPT2
wdr89,wdr89,WDR89
ndufa1,ndufa1,NDUFA1
htr2a,htr2a (1 of 2),HTR2A
LOC107376997,htr2a (2 of 2),HTR2A
LOC107383641,znf500,ZNF500
tbx22,tbx22,TBX22
hsf5,hsf5,HSF5
mkrn2os,mkrn2os,MKRN2OS
klf3,klf3,KLF3
LOC107387686,cox10,COX10
klhl23,klhl23 (1 of 2),KLHL23
LOC107392649,klhl23 (2 of 2),KLHL23
LOC107374612,cand1 (1 of 3),CAND1
cand1,cand1 (2 of 3),CAND1
LOC107375928,cand1 (3 of 3),CAND1
dtx2,dtx2 (1 of 2),DTX2
LOC107378571,dtx2 (2 of 2),DTX2
kdf1,kdf1 (1 of 2),KDF1
LOC107395193,kdf1 (2 of 2),KDF1
samd7,samd7,SAMD7
LOC107386916,LOC107386916,
hps3,hps3,HPS3
traf3ip2,traf3ip2 (1 of 2),TRAF3IP2
LOC107395048,traf3ip2 (2 of 2),TRAF3IP2
cic,cic (1 of 2),CIC
LOC107394877,cic (2 of 2),CIC
LOC107376295,fbxo6 (1 of 2),FBXO6
LOC107390474,fbxo6 (2 of 2),FBXO6
fhl1,fhl1 (1 of 2),FHL1
LOC107386729,fhl1 (2 of 2),FHL1
LOC107386521,slc6a7,SLC6A7
rogdi,rogdi,ROGDI
klhl6,klhl6,KLHL6
psmf1,psmf1,PSMF1
cecr1,cecr1 (1 of 2),CECR1
LOC107389344,cecr1 (2 of 2),CECR1
LOC107388018,usp31 (1 of 2),USP31
usp31,usp31 (2 of 2),USP31
LOC107394526,spaca4 (1 of 3),SPACA4
LOC107379644,spaca4 (2 of 3),SPACA4
LOC107379099,spaca4 (3 of 3),
LOC107396918,spatc1l,SPATC1L
smoc2,smoc2,SMOC2
LOC107392447,ryr3 (1 of 7),RYR3
LOC107385942,ryr3 (2 of 7),RYR3
LOC107392446,ryr3 (3 of 7),RYR3
LOC107372987,ryr3 (4 of 7),RYR3
LOC107372650,ryr3 (5 of 7),RYR3
LOC107377474,ryr3 (6 of 7),RYR3
LOC107377812,ryr3 (7 of 7),RYR3
LOC107374161,numb (1 of 2),NUMBL
numb,numb (2 of 2),NUMB
pdcd2,pdcd2,PDCD2
LOC107395523,LOC107395523,
lrch2,lrch2,LRCH2
amn,amn,AMN
LOC107379572,cacng7,CACNG7
LOC107375272,alox15b (1 of 2),ALOXE3
LOC107373298,alox15b (2 of 2),ALOX15B
LOC107388524,gse1 (1 of 2),GSE1
gse1,gse1 (2 of 2),GSE1
slc30a5,slc30a5,SLC30A5
pou2af1,pou2af1,POU2AF1
desi1,desi1 (1 of 2),DESI1
LOC107395138,desi1 (2 of 2),DESI1
LOC107379907,or10r2,OR52D1
myod1,myod1,MYOD1
LOC107385308,cax1,
cpsf3,cpsf3 (1 of 2),CPSF3
LOC107377927,cpsf3 (2 of 2),CPSF3
LOC107391351,cav2 (1 of 3),CAV2
cav2,cav2 (2 of 3),CAV2
LOC107385186,cav2 (3 of 3),CAV2
LOC107381673,il1r1 (1 of 3),IL1R2
LOC107389426,il1r1 (2 of 3),IL1R1
LOC107389639,il1r1 (3 of 3),IL1R1
ccdc103,ccdc103,CCDC103
LOC107384660,LOC107384660,
LOC107372515,rc3h2,RC3H2
LOC107374583,LOC107374583,
mapk10,mapk10,MAPK10
LOC107387646,klhdc1 (1 of 2),KLHDC1
klhdc1,klhdc1 (2 of 2),KLHDC1
LOC107394951,edn1,EDN1
esam,esam (1 of 2),IGSF11
LOC107380614,esam (2 of 2),ESAM
LOC107394599,efna3 (1 of 2),EFNA3
LOC107379610,efna3 (2 of 2),EFNA3
LOC107395449,akt2,AKT2
LOC107389199,calb2 (1 of 2),CALB2
LOC107381340,calb2 (2 of 2),CALB2
LOC107390229,or10j5,OR52D1
tomm40,tomm40,TOMM40
csgr02h10orf76,csgr02h10orf76,C10orf76
xpo5,xpo5,XPO5
coq7,coq7,COQ7
tppp3,tppp3 (1 of 2),TPPP3
LOC107391093,tppp3 (2 of 2),TPPP3
msh6,msh6,MSH6
LOC107377968,ripply2,RIPPLY2
LOC107379534,ceacam1,CEACAM6
myom3,myom3,MYOM3
gmpr,gmpr,GMPR
rmdn3,rmdn3,RMDN3
rpl14,rpl14,RPL14
dlx1,dlx1 (1 of 2),DLX1
