ncbi	human
LOC107390959	PNPLA2
LOC107380067	CASR
sh3d21	SH3D21
LOC107375811	OPRM1
ap2b1	AP2B1
LOC107373765	PDZD2
pdzrn3	PDZRN3
LOC107384147	AC005943.2
LOC107393850	ZBED1
LOC107375605	DUSP26
nr6a1	NR6A1
itprip	ITPRIP
LOC107379380	FOXO3
LOC107385072	C1QC
LOC107380287	TSNARE1
cracr2b	CRACR2B
LOC107378705	FAM46A
LOC107383117	MAP7D2
usp24	USP24
foxf1	FOXF1
wdr44	WDR44
letm2	LETM2
LOC107376734	SPTAN1
LOC107376188	SYNGR1
arl2bp	ARL2BP
pxk	PXK
LOC107391584	PRKCA
LOC107382411	DLL1
LOC107387233	RAB40B
denr	DENR
cpo	CPO
pgbd5	PGBD5
tnmd	TNMD
LOC107390492	FAM110A
trim45	TRIM45
gtpbp10	GTPBP10
LOC107384117	EPHA4
LOC107386202	GPSM1
ska1	SKA1
zyg11b	ZYG11B
cxcr5	CXCR5
pex5	PEX5
LOC107376944	MRC1
golga2	GOLGA2
LOC107389417	DUSP19
LOC107380695	CLMP
mfsd11	MFSD11
thsd1	THSD1
phactr1	PHACTR1
lmf1	LMF1
LOC107385445	SLC2A9
dmxl1	DMXL1
LOC107394968	SDC2
LOC107377812	RYR3
efcab1	EFCAB1
LOC107390160	SHH
tmem70	TMEM70
klf11	KLF11
LOC107391320	CALCRL
LOC107390901	RBMS1
LOC107385012	SLC2A1
LOC107374708	HCN1
nif3l1	NIF3L1
LOC107374233	WDR70
LOC107376790	GAB1
LOC107382461	ARMC4
znf536	ZNF536
LOC107375385	ADTRP
ash2l	ASH2L
smim7	CTC-429P9.4
ttc14	TTC14
LOC107388152	TMEM130
LOC107391545	SEPHS2
LOC107387949	TEKT2
rbbp6	RBBP6
eogt	EOGT
LOC107387629	TUBA1A
LOC107374098	TNFRSF10C
LOC107374267	CIT
ippk	IPPK
LOC107395805	RIMS1
scamp4	SCAMP4
LOC107393321	HARBI1
barhl2	BARHL2
LOC107388329	SMC1B
pir	PIR
LOC107395120	SLC4A4
LOC107389478	PRR33
ppard	PPARD
cers1	CERS4
mlc1	MLC1
LOC107381889	LTB4R
dmtf1	DMTF1
LOC107374160	MCTP1
pebp4	PEBP4
ankle2	ANKLE2
LOC107396672	COL28A1
LOC107386285	LHX6
clstn1	CLSTN1
LOC107373836	FZD1
LOC107396751	LRAT
piga	PIGA
LOC107390840	STAT6
cln3	CLN3
mcm9	MCM9
LOC107382720	SEL1L
setd1a	SETD1A
LOC107395508	SCAMP5
npdc1	NPDC1
tmem200a	TMEM200A
rapgef2	RAPGEF2
LOC107373876	RIMS1
csgr09h1orf50	C1orf50
celsr3	CELSR3
LOC107380945	SPAG17
cdc42se1	CDC42SE1
ppfibp1	PPFIBP1
LOC107372372	SEPT9
crtc3	CRTC3
LOC107390722	SLC7A5
LOC107383547	APCDD1
dzip1	DZIP1
ankrd16	ANKRD16
ankrd28	ANKRD28
LOC107390482	CHIA
sox10	SOX10
tnip2	TNIP2
tmem165	TMEM165
rab21	RAB21
LOC107388196	WDR49
LOC107373951	CFHR1
tdg	TDG
psma4	PSMA4
LOC107390818	MAPK14
paf1	PAF1
kcnma1	KCNMA1
stx19	STX19
LOC107374535	ZNF235
LOC107372636	TRMT44
LOC107385394	GPD1
LOC107396425	FAM19A1
LOC107372939	PVR
pla2g7	PLA2G7
LOC107390986	ZBED1
slc25a24	SLC25A24
gar1	GAR1
gk	GK
LOC107372637	KRT18
LOC107395905	MPZL3
fstl1	FSTL1
LOC107377181	RNF223
ankrd13d	ANKRD13D
LOC107382962	ZDHHC2
lct	LCT
lmbr1	LMBR1
eif4e3	EIF4E3
c7	C7
LOC107382683	CNGB3
LOC107393839	NPEPL1
rab28	RAB28
dhrsx	DHRSX
LOC107378656	ST14
LOC107377024	KCNJ10
LOC107390682	HES5
LOC107395828	AXIN1
urod	UROD
cfap43	CFAP43
exosc5	EXOSC5
cdan1	CDAN1
LOC107373694	NINL
zfyve28	ZFYVE28
phf5a	PHF5A
LOC107372731	MYH1
LOC107388179	BIRC5
LOC107395772	TDRD1
LOC107380111	SOCS5
supv3l1	SUPV3L1
LOC107388317	EDNRA
kidins220	KIDINS220
fbxo45	FBXO45
sos2	SOS2
LOC107387893	NRG3
e2f2	E2F2
LOC107380974	ZNF235
psmb8	PSMB8
LOC107373020	ZNF235
LOC107394864	ZNF384
ptgfrn	PTGFRN
LOC107381931	ZNF536
LOC107389486	ASB15
LOC107387746	SYNPO2L
LOC107383804	TRIM16
LOC107391200	DNAJC5
LOC107395821	VASN
fblim1	ZYX
phf23	PHF13
LOC107396403	RNF170
susd2	SUSD2
LOC107392891	ANOS1
ccl22	CCL13
optn	OPTN
LOC107374640	HIST1H4C
brk1	BRK1
tmem258	TMEM258
csgr08h8orf34	C8orf34
LOC107373455	EPB41L3
LOC107373864	HHEX
dnal4	DNAL4
LOC107377417	ZBED1
rpl7	RPL7
eri1	ERI1
LOC107373922	OR7A17
nek10	NEK10
htr1f	HTR1F
LOC107374395	ZKSCAN7
LOC107380465	LRRIQ3
LOC107382585	CD22
ankfn1	ANKFN1
LOC107387794	ZNF235
zfc3h1	ZFC3H1
cenpn	CENPN
srebf1	SREBF1
LOC107394834	MVB12B
dhh	IHH
daam2	DAAM2
LOC107376798	ZNF235
ube3a	UBE3A
LOC107392362	OTX2
tymp	TYMP
LOC107376156	RAB26
LOC107384560	MLPH
apela	APELA
sorbs3	SORBS3
LOC107386572	B3GNT3
prosc	PROSC
LOC107372575	NEB
LOC107375331	CTBP1
sfxn4	SFXN4
hgs	HGS
LOC107381562	PKD1L3
epha2	EPHA2
LOC107377824	MAX
cep41	CEP41
LOC107384248	SALL2
srp14	SRP14
LOC107376184	TTC39A
wfikkn2	WFIKKN2
pan3	PAN3
gpkow	GPKOW
LOC107380063	CASR
ntn4	NTN4
atp10a	ATP10A
LOC107393172	LPL
nmb	NMB
LOC107372982	CBX4
capn12	CAPN9
trappc2	TRAPPC2
LOC107375900	HOXD4
LOC107383626	AP5B1
gpr17	GPR17
LOC107388671	RAB3IL1
ahctf1	AHCTF1
LOC107380342	SPA17
ube2z	UBE2Z
tpk1	TPK1
ptges2	PTGES2
LOC107373627	GRIK4
tpgs1	TPGS1
ngrn	NGRN
csgr01h4orf45	C4orf45
slc25a3	SLC25A3
slc25a19	SLC25A19
LOC107380887	CACNA2D4
rassf4	RASSF2
LOC107390458	MICAL3
LOC107372491	ZNF85
LOC107395127	TMEM82
LOC107380920	ZNF235
LOC107390220	TMBIM1
eif2ak4	EIF2AK4
LOC107379048	MRC1
aff2	AFF2
LOC107372928	TAAR6
LOC107383573	PTPRF
gmeb1	GMEB1
LOC107374574	KRTAP16-1
LOC107377956	FILIP1
cntrl	CNTRL
mfsd12	MFSD12
mrpl52	MRPL52
LOC107383014	BCO1
LOC107393627	ZNF121
calcr	CALCRL
smcr8	SMCR8
marcksl1	MARCKSL1
LOC107390890	IKZF4
LOC107387989	TRPM5
sumo2	SUMO2
LOC107382206	BGLAP
cog4	COG4
LOC107384856	CECR5
ints10	INTS10
LOC107392571	PPP1R13B
lgr4	LGR4
herpud2	HERPUD2
LOC107391978	STXBP5
pus10	PUS10
LOC107394926	SFPQ
astn2	ASTN2
LOC107390823	C1orf106
rnd1	RND1
phip	PHIP
fa2h	FA2H
tgm1	TGM1
LOC107384933	PTPN12
rwdd4	RWDD4
LOC107386118	RNF214
nudt1	NUDT1
csmd2	CSMD2
pidd1	PIDD1
LOC107390077	BAZ2B
LOC107396842	RBM12B
sema4b	SEMA4B
gstcd	GSTCD
slitrk5	SLITRK5
mettl21b	METTL21B
LOC107386993	PITPNA
tmem127	TMEM127
dmrt2	DMRT2
LOC107373723	RGS18
mcidas	MCIDAS
LOC107378306	FOXO4
LOC107390628	HES5
LOC107397316	CCDC107
LOC107377934	ZDHHC14
LOC107394592	SNX27
tsnax	TSNAX
rorb	RORB
LOC107375401	CCDC106
tbpl1	TBPL1
LOC107394648	PSMD4
slc9a8	SLC9A8
LOC107378222	TAAR1
ntan1	NTAN1
LOC107383785	MYL12B
LOC107387780	ALMS1
LOC107385105	GDI2
LOC107390058	SLC47A1
LOC107396917	GRINA
tac1	TAC1
sfxn2	SFXN2
LOC107391327	TRIM25
cabp7	CABP7
htatip2	HTATIP2
LOC107392216	CLDN23
tmc7	TMC7
LOC107389611	KLHL13
LOC107397181	SEC14L1
mrpl47	MRPL47
slc35e4	SLC35E4
LOC107380629	CDYL2
rsph10b	RSPH10B2
ctnnbip1	CTNNBIP1
ube2r2	UBE2R2
LOC107396654	UBE2L3
LOC107377799	ADGRG3
LOC107392008	GIMAP2
LOC107390410	PTPN12
axin1	AXIN1
gpr83	GPR83
LOC107378965	CADM4
ncaph	NCAPH
LOC107387964	CABP5
LOC107384220	LRRC24
LOC107380247	STX1A
slc30a4	SLC30A4
LOC107376561	FAM20C
stat4	STAT4
LOC107389223	HERC4
LOC107393613	FAM101A
LOC107378456	C1QL1
LOC107385060	MYCN
inpp5e	INPP5E
LOC107390608	NDUFA4
csgr01h12orf45	C12orf45
rps15	RPS15
LOC107373148	ANTXR2
LOC107377433	ZNF112
LOC107386767	TH
rad51ap1	RAD51AP1
pcolce2	PCOLCE2
LOC107392015	ANKHD1
LOC107380286	BMP4
LOC107385482	RDH11
LOC107388789	MALT1
LOC107374234	EPHA6
prrg4	PRRG4
LOC107373950	PNMA1
LOC107395765	C16orf46
LOC107392138	SLC25A24
LOC107380427	NWD2
mamdc4	MAMDC4
znf362	ZNF362
LOC107383585	CTD-2207O23.3
LOC107385244	SKI
LOC107391483	ELK1
sash1	SASH1
snx20	SNX20
map1lc3b	MAP1LC3B
LOC107380443	GRIA4
LOC107394609	TBC1D20
tfip11	TFIP11
LOC107396951	CITED2
LOC107384089	SLC25A42
disp3	PTCHD2
LOC107389209	MICAL2
mfsd1	MFSD1
LOC107382330	BTN1A1
LOC107392452	JUP
man2b1	MAN2B1
snai2	SNAI2
LOC107377222	KLF7
cadm3	CADM3
LOC107376999	PRSS8
LOC107383828	GNG5
uhrf1	UHRF1
vps72	VPS72
tmem51	TMEM51
LOC107376198	SLC25A5
LOC107386086	GSTT2B
LOC107389257	OLFM4
srsf5	SRSF4
rmdn2	RMDN3
rpl12	RPL12
LOC107391799	HRC
mafa	MAFA
LOC107373617	KMT2C
LOC107388543	ZAN
LOC107373014	HIST1H4C
LOC107377954	ASB2
pacsin2	PACSIN2
card14	CARD14
iqcb1	IQCB1
acan	ACAN
myo9a	MYO9A
dagla	DAGLA
LOC107389198	PNP
LOC107391718	NRXN2
LOC107388852	KCP
LOC107395475	ZSCAN5CP
LOC107385001	VN1R4
LOC107372727	ZNF235
LOC107382059	RPS6KA2
LOC107385751	AMPD2
gpank1	GPANK1
utp23	UTP23
mrpl39	MRPL39
snrnp70	SNRNP70
serpine2	SERPINE2
kynu	KYNU
LOC107392980	FNDC7
soga1	SOGA1
ogg1	OGG1
wisp2	CTGF
smg5	SMG5
LOC107395193	KDF1
LOC107394284	HARBI1
pycrl	PYCRL
LOC107383714	ZNF846
LOC107384573	F7
LOC107382707	NANOGP8
LOC107376396	SLC2A6
mettl17	METTL17
LOC107372825	TRIM25
LOC107372322	DPP9
b3gnt8	B3GNT2
bivm	BIVM-ERCC5
lrp6	LRP6
misp	MISP
LOC107380317	P2RX7
gcc2	GCC2
LOC107380376	DUT
LOC107377447	KCNIP4
recql	RECQL
hdhd3	HDHD3
dap3	DAP3
LOC107373595	LRIT3
akirin1	AKIRIN1
LOC107385736	GRM3
LOC107372857	EPB41L3
LOC107386774	SEPT8
med27	MED27
LOC107395842	EHMT1
LOC107378627	SLC40A1
adra2a	ADRA2A
nphp1	NPHP1
LOC107395296	CCDC136
LOC107376504	CDR2
pigp	PIGP
LOC107388361	PPP1R15B
echdc3	ECHDC3
c1qbp	C1QBP
LOC107377179	USP12
LOC107396596	GSN
LOC107387996	CPT1A
gp1bb	GP1BB
LOC107392313	LRRC9
psmd10	PSMD10
tsc22d2	TSC22D2
LOC107385607	NRN1
slc13a1	SLC13A1
bms1	BMS1
LOC107379158	NOTCH1
LOC107375482	HAVCR2
dbx1	DBX1
lamp1	LAMP1
fam160a2	FAM160A2
LOC107389772	CAMSAP3
LOC107387759	PPM1B
LOC107383444	CEL
LOC107396733	CPTP
LOC107375411	PACS1
cnn3	CNN3
mthfd1l	MTHFD1L
LOC107394585	CRIP3
LOC107389459	SOGA1
LOC107372516	MBOAT2
LOC107389888	CLDN10
alg6	ALG6
chmp3	CHMP3
pithd1	PITHD1
LOC107383085	CDH6
LOC107375984	CTBP2
LOC107388665	SLC25A6
LOC107372363	ZNF569
LOC107395453	SLC6A13
gramd3	GRAMD3
LOC107375986	TEX36
eif4ebp3	EIF4EBP3
LOC107390303	WNK4
wnt11	WNT11
LOC107381211	FZD3
ssna1	SSNA1
LOC107396390	XYLT1
LOC107373203	DHFR
zeb1	ZEB1
LOC107386944	FHDC1
LOC107391172	CDH26
sox1	SOX1
naa40	NAA40
LOC107388869	PCLO
sh2b2	SH2B2
LOC107395354	OR7A17
LOC107373294	ZNF235
LOC107389452	CLEC4C
nrbf2	NRBF2
LOC107375565	SLC39A9
hoxa10	HOXA10
tex9	TEX9
LOC107374934	PGBD4
cpeb2	CPEB2
tdrd1	TDRD1
eif2b5	EIF2B5
kansl3	KANSL3
LOC107396910	SNX1
eaf1	EAF1
hprt1	HPRT1
LOC107376145	GFI1B
srd5a2	SRD5A2
LOC107390048	HSD17B6
csgr17h8orf82	C8orf82
slc16a10	SLC16A10
cpped1	CPPED1
upf1	UPF1
LOC107392587	RBBP4
LOC107373572	ZBED9
LOC107388678	PNPLA2
macf1	MACF1
LOC107389960	SLITRK5
kmt5a	KMT5A
LOC107388936	UBE2H
frem3	FREM2
LOC107392580	CD93
rtkn	RTKN
tsen54	TSEN54
LOC107377288	USP12
LOC107384730	ANK2
LOC107394477	ZNF3
neil1	NEIL1
kiaa0556	KIAA0556
nptx2	NPTX2
plcg2	PLCG2
hras	HRAS
LOC107382969	GPT2
LOC107379157	HES2
LOC107383951	GLUL
plekhh1	PLEKHH1
klf1	KLF1
slc37a1	SLC37A1
serhl2	SERHL2
LOC107394632	MEF2D
dyrk1a	DYRK1A
nfkbil1	NFKBIL1
chn1	CHN1
LOC107378095	ZNF410
pdf	PDF
LOC107377309	CHD3
slc7a10	SLC7A10
LOC107393216	PHPT1
tp73	TP73
epg5	EPG5
LOC107378305	PLPP3
LOC107375576	CST1
LOC107382786	TTN
LOC107381949	CBX1
LOC107393596	CXADR
LOC107376603	MYADM
sptlc1	SPTLC1
dusp23	DUSP23
chfr	CHFR
LOC107383303	PPP6R2
LOC107387021	CYB5D2
parp6	PARP6
mcmbp	MCMBP
LOC107391154	ZMYND8
ntrk3	NTRK3
sdhaf4	SDHAF4
ercc3	ERCC3
LOC107389383	GJC1
wscd2	WSCD2
LOC107396981	MAOA
ado	ADO
proc	F9
LOC107379071	SCN3B
LOC107389173	CYP2J2
LOC107373005	ATP6V0A2
b4galt2	B4GALT2
rtcb	RTCB
ube4b	UBE4B
LOC107381587	PNPLA2
LOC107389645	LONRF2
kif16b	KIF16B
LOC107386362	ARHGAP42
prpf4b	PRPF4B
samd12	SAMD12
LOC107387700	RAP1GDS1
LOC107389874	ERBB4
LOC107388849	MOB2
mrps34	MRPS34
LOC107391096	GP9
cfap74	CFAP74
ppp1r12a	PPP1R12A
dhx8	DHX8
tmbim6	TMBIM6
ercc8	ERCC8
LOC107376680	GDPD3
degs2	DEGS2
wnt1	WNT1
LOC107395099	RNF175
pum3	PUM3
adam23	ADAM23
ppip5k1	PPIP5K1
hdac6	HDAC6
LOC107391476	PTPN18
kdm6a	KDM6A
LOC107391722	HIST1H1A
tsnare1	TSNARE1
LOC107380892	CRYGS
sgk1	SGK1
ccp110	CCP110
dhx57	DHX57
rab6b	RAB6B
arhgap32	ARHGAP32
LOC107388032	TUB
colgalt1	COLGALT1
LOC107386491	SLC25A15
msh5	MSH5
LOC107391011	SLC26A6
rfxap	RFXAP
LOC107387934	ERBB2
acaa1	ACAA1
LOC107396501	FOXJ1
dcxr	DCXR
rph3a	RPH3A
LOC107376049	SETDB1
LOC107395525	LINGO3
LOC107389815	ACTG1
LOC107393497	TUBB4B
ash1l	ASH1L
satb1	SATB1
LOC107396506	CDC42BPB
dcp2	DCP2
LOC107396044	CLDN34
n6amt1	N6AMT1
LOC107381048	SDR42E1
col16a1	COL16A1
katna1	KATNA1
mbnl1	MBNL1
sirt6	SIRT6
LOC107385916	DMBT1
LOC107393664	ORAI1
cpsf6	CPSF6
dnttip1	DNTTIP1
LOC107390386	GRASP
LOC107388020	MSS51
cacnb2	CACNB2
rem1	GEM
LOC107388532	TSPAN33
orc3	ORC3
fkbp14	FKBP14
mien1	MIEN1
LOC107386563	FAM46C
slc35c1	SLC35C1
plek2	PLEK2
LOC107372838	CACNA1I
cacng1	CACNG1
cdc7	CDC7
haus7	HAUS7
ttc5	TTC5
slc25a51	SLC25A51
csgr02h9orf16	C9orf16
LOC107385638	NR1D2
tigar	TIGAR
accs	ACCS
ociad1	OCIAD1
nyap2	NYAP2
sf3b4	SF3B4
sbds	SBDS
dirc2	DIRC2
sncaip	SNCAIP
LOC107375946	SPTAN1
sp7	SP7
LOC107386216	PURB
prkdc	PRKDC
LOC107374733	GOLPH3
ap3b1	AP3B1
LOC107393369	COA7
LOC107381668	IL18RAP
LOC107387154	CNFN
LOC107386331	H3F3A
LOC107386803	TRPC7
LOC107373719	RAB3GAP1
meltf	MFI2
LOC107389424	OR52E4
LOC107395294	DUSP11
LOC107390845	RND1
LOC107379308	SIGLEC5
plrg1	PLRG1
pold2	POLD2
LOC107382020	CARTPT
LOC107378340	HEBP2
LOC107375974	HMX3
LOC107384695	FNDC4
tpra1	TPRA1
LOC107373803	UNC5C
LOC107391957	HIVEP2
zc3h10	ZC3H10
marcks	MARCKSL1
tmem186	TMEM186
LOC107376292	GPRC5A
LOC107385258	A3GALT2
LOC107376266	GIMAP4
hand1	HAND1
gal3st4	GAL3ST2
LOC107395303	TLL2
taf2	TAF2
adpgk	ADPGK
LOC107379405	IRGC
lnpep	LNPEP
cd164	CD164
nmu	NMU
hspbp1	HSPBP1
LOC107379116	CLEC17A
LOC107393706	PLA2G3
hspa4l	HSPA4L
LOC107387327	KCTD1
ciz1	CIZ1
id1	ID1
gabrg2	GABRG2
kmt2c	KMT2C
LOC107389756	JAGN1
LOC107394596	S100Z
plpp1	PLPP1
LOC107397032	CEP164
LOC107390711	PRDM2
tmem86a	TMEM86A
ace	ACE
taf8	TAF8
LOC107391513	GPR37L1
LOC107376822	ZFP69B
ptch2	PTCH1
fitm1	FITM1
pla2g12a	PLA2G12A
tshz3	TSHZ3
nsf	NSF
LOC107392558	NKX2-2
LOC107380844	SDPR
LOC107394912	TPM3
LOC107394829	GAPDH
march5	MARCH5
LOC107383917	IGFBP3
LOC107393909	JMY
gpam	GPAM
LOC107381583	NRN1L
LOC107384176	PTBP2
rnf130	RNF130
LOC107384121	GPX4
LOC107380127	SLC47A1
LOC107395077	SPRY3
LOC107373120	EPN3
cdk9	CDK9
cspp1	CSPP1
LOC107372780	NT5C2
LOC107381437	CALCA
LOC107383460	TRIM25
LOC107394548	TGFBR2
nfkbia	NFKBIA
st6galnac4	ST6GALNAC3
eed	EED
LOC107385662	OLFML3
dnajc16	DNAJC16
nfe2	NFE2L2
spon2	SPON2
LOC107375731	EDNRB
zdhhc24	ZDHHC24
galnt10	GALNT10
strn	STRN
LOC107382943	SLC38A4
LOC107394166	CRHBP
LOC107379287	FAT1
LOC107382294	LYG2
LOC107384210	FABP6
ldlrad3	LDLRAD3
LOC107389505	FTH1
wdr45b	WDR45B
LOC107397045	PLA2G12B
LOC107383703	CPNE8
mki67	MKI67
dnajc8	DNAJC8
LOC107374422	THRAP3
LOC107373790	PCDH10
LOC107391878	ALMS1
ccdc88a	CCDC88A
LOC107388926	DENND5B
hoxd9	HOXC9
LOC107391084	CR1
ints4	INTS4
asxl1	ASXL1
gtf2b	GTF2B
LOC107393807	HIST1H4C
dennd3	DENND3
atg7	ATG7
abcc8	ABCC8
LOC107395468	MYO15A
slitrk1	SLITRK1
hid1	HID1
LOC107385116	CACNA1D
zbtb1	ZBTB1
edf1	EDF1
LOC107381790	RBPMS2
ss18l1	SS18L1
LOC107376940	TDRD7
LOC107376022	PROKR2
LOC107389319	ELMO1
zcrb1	ZCRB1
LOC107382237	LYL1
adck1	ADCK1
fam107b	FAM107B
LOC107381278	CHRNA5
LOC107384363	ASPH
traf6	TRAF6
LOC107393193	TOM1
LOC107396952	RYR2
LOC107376135	PNMA1
LOC107384019	EPHB1
arhgap21	ARHGAP21
adamtsl1	ADAMTSL1
LOC107394772	ENO2
LOC107382276	ANGPT4
asph	ASPH
unc79	UNC79
klc3	KLC1
LOC107382132	DNAJA3
LOC107378549	ASIC2
LOC107379568	HNRNPA0
LOC107388011	TRIM16
LOC107392400	RUFY1
ep300	CREBBP
LOC107373970	HECTD4
LOC107395657	DPP9
LOC107384126	PTPRD
LOC107397167	MSTN
npvf	NPVF
LOC107379226	TLR6
hoxa9	HOXA9
csgr03h10orf11	C10orf11
LOC107390275	REEP5
LOC107374478	LRRK1
fam213b	FAM213B
ccni2	CCNI
wasf3	WASF3
LOC107381341	SLC38A8
sec63	SEC63
prokr1	PROKR1
LOC107382349	MCOLN1
mmp9	MMP9
LOC107380722	GDPD5
LOC107390540	DEDD
LOC107379990	APRT
gsap	GSAP
gad2	GAD2
LOC107373963	POFUT1
LOC107388252	FOXJ1
LOC107393912	CMYA5
leprot	LEPROT
LOC107385798	BHLHE40
LOC107397147	MARCKSL1
LOC107381482	TSPAN18
pacs1	PACS1
LOC107396642	USP2
LOC107395709	SEPT2
mfn1	MFN1
rras2	RRAS2
LOC107383390	SPTAN1
edrf1	EDRF1
LOC107374306	BSPRY
LOC107379963	MASP1
tbc1d30	TBC1D30
LOC107383564	NTNG1
rspo2	RSPO2
LOC107374518	FRZB
LOC107386738	PICALM
LOC107385499	MYL2
rab39b	RAB39B
plk1	PLK1
LOC107379906	OR52D1
LOC107391160	AQP4
LOC107395219	IL17D
pnisr	PNISR
mrps9	MRPS9
LOC107390248	TAAR6
LOC107382040	KIAA1211L
LOC107394932	EEF1A1
crebbp	CREBBP
LOC107386893	FBXO40
LOC107386274	KCNT1
sox13	SOX13
LOC107382378	ATL2
LOC107382511	APMAP
LOC107379101	GIMAP4
LOC107377830	SLC32A1
LOC107394196	OSBP2
LOC107387991	IRF5
LOC107397322	PEAK1
LOC107397370	FAT4
csrnp1	CSRNP2
dio3	DIO3
ruvbl2	RUVBL2
LOC107375024	SH3RF2
LOC107395744	CDC42EP4
LOC107394694	ZNF516
LOC107380969	ZNF420
LOC107393683	C9orf40
LOC107376040	ANXA11
LOC107392101	GADD45G
LOC107394753	SYCE1
kiaa1217	KIAA1217
LOC107374352	FUBP3
LOC107383467	SLAMF7
LOC107386856	ABHD15
LOC107380680	CLTC
LOC107379172	ZNF385D
fbxo5	FBXO5
lhx1	LHX1
LOC107382844	CSTB
LOC107384372	ANGPTL1
LOC107389462	ADRM1
LOC107395731	SRSF4
LOC107382632	KIF20A
lars	LARS
LOC107374063	KIAA1462
mrps18c	MRPS18C
LOC107372562	TAAR6
LOC107388456	CELF2
LOC107393725	PHYHIP
LOC107387289	CRHR1
LOC107373131	CALCA
LOC107380806	GIF
LOC107384583	TSPAN7
LOC107389806	GRK1
LOC107374100	ADGRL2
sema6b	SEMA6B
LOC107390875	C1GALT1
LOC107390504	SLC27A1
LOC107378439	BCAT1
LOC107388081	SHANK2
LOC107376209	DLX3
rab8b	RAB8B
LOC107396001	GJA8
ddr2	DDR2
tbcd	TBCD
LOC107382414	TWISTNB
LOC107387601	CACNA1H
tfcp2l1	TFCP2L1
LOC107379585	TARSL2
LOC107396436	PPP1R12C
adprhl2	ADPRHL2
rps12	RPS12
LOC107376969	TRIM47
tmem108	TMEM108
LOC107392873	FCHO1
tcf21	TCF21
LOC107395849	CRYAB
LOC107381797	LINGO1
mycbpap	MYCBPAP
LOC107384527	RQCD1
LOC107390211	UGT1A1
arel1	AREL1
LOC107376417	EML4
LOC107387676	RETSAT
znfx1	ZNFX1
LOC107387972	ALDOA
LOC107373850	ATP6AP1L
LOC107377035	GAL3ST3
LOC107372504	ZNF234
LOC107374742	GNAQ
lrrc73	LRRC73
LOC107383421	VIPR2
fcer1g	CD247
tmtc4	TMTC4
wdr53	WDR53
celf2	CELF2
LOC107372626	DNMT3B
celf5	CELF5
LOC107383048	PHLDA1
LOC107395701	LMO7
csgr14h11orf24	C11orf24
LOC107379970	OR52K1
ostc	OSTC
LOC107393047	IGFBP3
wdr5	WDR5
LOC107378032	SNAP91
LOC107379054	FCER1A
LOC107392878	PRG4
LOC107395180	GPR20
itga1	ITGA1
mrpl15	MRPL15
lrrc28	LRRC28
kiaa1715	KIAA1715
LOC107385033	NAV1
psmd8	PSMD8
LOC107390334	SLC25A45
LOC107389440	CRYGB
lrfn2	LRFN2
ccnk	CCNK
LOC107383747	GUCY2F
dxo	DXO
LOC107380228	TRIM3
dock2	DOCK2
LOC107373659	SP100
LOC107396144	SDF2L1
LOC107386730	ADGRG4
syt16	SYT16
LOC107379077	FLI1
LOC107397255	NECAB1
LOC107389052	HIPK2
LOC107386448	GNAI1
tubgcp5	TUBGCP5
pgrmc1	PGRMC1
bmp3	BMP3
LOC107376799	ZNF300
LOC107374142	TTC31
flrt2	FLRT2
LOC107382604	PTBP2
LOC107384118	EPHA4
LOC107393411	MAF
hcn2	HCN2
limch1	LMO7
LOC107387426	GIN1
hoxb3	HOXB3
gng10	GNG10
LOC107379545	TRIM35
capzb	CAPZB
LOC107378963	CD22
csgr11h5orf24	C5orf24
LOC107374810	VAMP1
LOC107389339	DYRK4
LOC107382256	HIST2H2AB
utp11	UTP11L
LOC107381107	ALG11
efhd1	EFHD1
lrfn5	LRFN5
rrp15	RRP15
stard7	STARD7
LOC107390062	SCN2A
cercam	COLGALT2
LOC107378107	LGALS3
lclat1	LCLAT1
glrb	GLRB
LOC107378760	CCR4
elk3	ELK4
LOC107377553	SYNE1
oprk1	OPRK1
api5	API5
pigs	PIGS
LOC107396739	NPNT
LOC107394275	LIFR
baiap2l1	BAIAP2L1
LOC107375612	COL4A1
ssh1	SSH1
LOC107391028	TP53INP2
trappc1	TRAPPC1
cep135	CEP135
ankra2	ANKRA2
ddr1	DDR1
gria1	GRIA1
LOC107382034	ASTL
iffo2	IFFO2
LOC107391840	CLEC14A
thg1l	THG1L
LOC107382362	TMX2
slc35f2	SLC35F2
orai2	ORAI2
cul4a	CUL4A
il17rel	IL17REL
mcph1	MCPH1
cmc2	CMC2
neil3	NEIL3
yipf3	YIPF3
LOC107391375	CACNA1I
cmss1	CMSS1
r3hdm2	R3HDM2
LOC107395650	MAG
kcnip1	KCNIP1
LOC107388502	TMEM117
LOC107381710	SLC27A2
LOC107391998	RASD2
dhdds	DHDDS
LOC107384536	SON
LOC107372358	AMBP
LOC107394370	CPNE4
LOC107381332	STRC
znf521	ZNF521
cirbp	CIRBP
LOC107383148	PPP1R3G
LOC107389244	HERPUD1
LOC107395856	CLDN14
sgcd	SGCD
plb1	PLB1
LOC107373878	PCDHAC2
lrp11	LRP11
LOC107380070	CASR
pcsk9	PCSK9
ptrf	PTRF
tfap2b	TFAP2B
LOC107379943	ZNF208
armc1	ARMC1
fxr2	FXR2
LOC107378372	HBE1
agbl4	AGBL4
LOC107380555	OR52N5
LOC107396441	SP6
LOC107386900	UNC119
tmem107	TMEM107
LOC107376102	CCDC172
mgat3	MGAT3
LOC107374763	COL27A1
fignl1	FIGNL1
asb8	ASB8
